case_id,k,out_real,out_imag,energy
0,0,1810,2793,11076949
0,1,-4876,2330,29204276
0,2,3474,11223,138024405
0,3,3852,-1948,18632608
0,4,-10510,-2268,115603924
0,5,-7128,-4707,72964233
0,6,39,3184,10139377
0,7,-1703,5323,31234538
0,8,-1129,-776,1876817
0,9,-4413,-4264,37656265
0,10,4567,-4678,42741173
0,11,4790,3619,36041261
0,12,1410,3440,13821700
0,13,6800,2882,54545924
0,14,2756,-3425,19326161
0,15,-4858,1614,26205160
0,16,2111,883,5236010
0,17,-5527,1683,33380218
0,18,4474,5083,45853565
0,19,-440,1891,3769481
0,20,-1380,3874,16912276
0,21,-4664,1167,23114785
0,22,6309,1452,41911785
0,23,-2128,4145,21709409
0,24,-1711,-7667,61710410
0,25,-1878,-3772,17754868
0,26,3076,-3755,23561801
0,27,1874,-3178,13611560
0,28,-514,260,331796
0,29,317,-202,141293
0,30,106,243,70285
0,31,333,418,285613
0,32,341,958,1034045
0,33,-52,640,412304
0,34,-151,822,698485
0,35,1551,615,2783826
0,36,-356,-2474,6247412
0,37,-1304,31,1701377
0,38,771,702,1087245
0,39,261,1471,2231962
0,40,-75,-544,301561
0,41,734,-1115,1781981
0,42,-630,-654,824616
0,43,655,1769,3558386
0,44,-1525,225,2376250
0,45,696,-788,1105360
0,46,1285,-717,2165314
0,47,207,-409,210130
0,48,71,554,311957
0,49,-5,-173,29954
0,50,-522,245,332509
0,51,862,417,916933
0,52,-444,-506,453172
0,53,-259,146,88397
0,54,103,-1099,1218410
0,55,-1234,733,2060045
0,56,-1040,-2261,6193721
0,57,-4152,835,17936329
0,58,646,3122,10164200
0,59,2160,-4004,20697616
0,60,994,-2390,6700136
0,61,-1435,888,2847769
0,62,-2413,-658,6255533
0,63,386,518,417320
1,0,-1150,-6605,44948525
1,1,5970,1159,36984181
1,2,-4612,-2103,25693153
1,3,4995,-20,24950425
1,4,-9817,2169,101078050
1,5,-1475,2607,8972074
1,6,1205,3244,11975561
1,7,2282,160,5233124
1,8,3758,-2339,19593485
1,9,4509,-275,20406706
1,10,-1713,-9448,92199073
1,11,-1910,-7540,60499700
1,12,3706,-7678,72686120
1,13,-1241,-5851,35774282
1,14,-7123,1886,54294125
1,15,-5825,-4571,54824666
1,16,-4279,-2063,22565810
1,17,1742,7216,55105220
1,18,1282,-1763,4751693
1,19,3938,3525,27933469
1,20,-1847,-4265,21601634
